;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;NOVEDAD;;;;;;NO DISPONIBLE;;;;;;;;;;;;
;PROMOCION;;;;;;LIMITADO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Código;DESCRIPCION; Precio Unitario Sin IVA ; Precio sugerido al público ;PEDIDO;;Código;DESCRIPCION; Precio Unitario Sin IVA ; Precio sugerido al público ;PEDIDO;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
28 - ROL;;;;;;30  -  Yu-Gi-Oh!;;;;;;;;;;;;;
1077;PATHFINDER C. DE CARROÑA 4-LA ESTELA DEL VIGILANTE; $650,00 ; $975 ;NOVE;;1075;SOBRE LEGENDARY DUELISTS SISTERS OF THE ROSE (Caja X 36); $58,00 ; $174 ;PROMO;;;;;;;;;
1078;PATHFINDER C. DE CARROÑA 5-CENIZAS AL AMANECER; $650,00 ; $975 ;NOVE;;1088;SOBRE SPEED DUEL ATTACK FROM THE DEEP (Caja X 36); $64,05 ; $116 ;NOVE;;;;;;;;;
1079;PATHFINDER C. DE CARROÑA 6-LAS SOMBRAS DE LA ESPIRA; $650,00 ; $975 ;NOVE;;1089;EDICIÓN ESPECIAL DARK NESTORM; $460,00 ; $830 ;NOVE;;;;;;;;;
1085;PATHFINDER C. DE LADRONES 6-EL PRINCIPE DOBL. CONDENADO; $650,00 ; $975 ;NOVE;;25 - Pokémon;;;;;;;;;;;;;
1080;PATHFINDER C.DE LADRONES 1-BASTARDOS DE EREBO; $650,00 ; $975 ;NOVE;;1032;SOBRE POKE S&M CRIMSON INVASION (Caja X 36); $184,62 ; $335 ;;;;;;;;;;
1081;PATHFINDER C.DE LADRONES 2-EL JUICIO DE LAS 6 PRUEBAS; $650,00 ; $975 ;NOVE;;1052;COLLECTOR'S CHEST SPRING 2018; $1.332,83 ; $2.419 ;PROMO;"30% Descuento 
en productos 
PROMO

";;;;;;;;
1082;PATHFINDER C.DE LADRONES 3-LO QUE YACE EN EL POLVO; $650,00 ; $975 ;NOVE;;1056;SOBRE POKE S&M FORBIDDEN LIGHT (Caja X 36); $184,62 ; $335 ;;;;;;;;;;
1083;PATHFINDER C.DE LADRONES 4-EL SINDROME INFERNAL; $650,00 ; $975 ;NOVE;;1057;MAZO POKE S&M FORBIDDEN LIGHT; $803,73 ; $1.459 ;;;;;;;;;;
1084;PATHFINDER C.DE LADRONES 5-LA MADRE DE LAS MOSCAS; $650,00 ; $975 ;NOVE;;1059;LEGENDS OF JOHTO GX PREMIUM COLLECTION; $1.743,58 ; $3.165 ;PROMO;;;;;;;;;
1064;PATHFINDER CALAVERAS Y GR. 1-EL MOTIN DE LA AMARGURA; $650,00 ; $975 ;NOVE;;1062;FORCES OF NATURE GX PREMIUM COLLECTION; $1.735,08 ; $3.149 ;PROMO;;;;;;;;;
1065;PATHFINDER CALAVERAS Y GR. 2-SAQUEADORES DEL MAR FEBRIL; $650,00 ; $975 ;NOVE;;1063;SOBRE POKE S&M CELESTIAL STORM (Caja X 36); $175,82 ; $319 ;PROMO;;;;;;;;;
1066;PATHFINDER CALAVERAS Y GR. 3-SE DESATA LA TEMPESTAD; $650,00 ; $975 ;NOVE;;1065;MAZO S&M CELESTIAL STORM; $803,73 ; $1.389 ;PROMO;;;;;;;;;
1067;PATHFINDER CALAVERAS Y GR. 4-LA ISLA DE LOS OJOS VACIOS; $650,00 ; $975 ;NOVE;;1072;ELITE TRAINER POKE S&M LOST THUNDER; $2.041,20 ; $3.705 ;;;;;;;;;;
1069;PATHFINDER CALAVERAS Y GR. 5-DEL CORAZON DEL INFIERNO; $650,00 ; $975 ;NOVE;;1083;CAJA TOWERING SPLASH GX BOX Inglés; $970,92 ; $1.762 ;;;;;;;;;;
1068;PATHFINDER CALAVERAS Y GR. 5-EL PRECIO DE LA INFAMIA; $650,00 ; $975 ;NOVE;;1086;KANTO FRIENDS MINI TIN ; $505,00 ; $915 ;;;;;;;;;;
1045;PATHFINDER COMBATE DEFINITIVO (ESPAÑOL); $1.350,00 ; $2.025 ;;;1098;SOBRE POKE UNBROKEN BONDS (Caja X 36); $184,62 ; $335 ;NOVE;;;;;;;;;
1021;PATHFINDER EL AUGE DE LOS SEÑORES DE LAS RUNAS; $4.042,50 ; $6.064 ;;;1100;MAZOS POKE UNBROKEN BONDS; $803,73 ; $1.459 ;NOVE;;;;;;;;;
1073;PATHFINDER ESTRELLA FRAG. 1-FRAGMENTOS DE PECADO; $650,00 ; $975 ;NOVE;;1101;ALOLAN / MAROWAK GX BOX; $1.102,00 ; $2.000 ;NOVE;;;;;;;;;
1070;PATHFINDER ESTRELLA FRAG. 2-LA MALDICION DE LA LUZ DE LA DAMA; $650,00 ; $975 ;NOVE;;15 - Magic the Gathering;;;;;;;;;;;;;
